"46100","46101","1092"
"53875","11227","924"
"36747","5815","875"
"11227","43208","822"
"22467","22513","622"
"39577","46101","607"
"36747","36748","572"
"46483","5417","536"
"42341","52444","528"
"22467","22491","519"
"51593","52444","513"
"51570","46483","504"
"25744","46101","497"
"10522","39577","486"
"22467","22485","466"
"22447","22502","429"
"36747","36749","425"
"46738","46483","421"
"22452","22502","419"
"46127","46202","400"
"30855","19010","393"
"19010","19656","388"
"30856","19010","382"
"51571","46483","382"
"52444","41253","379"
"22467","10661","370"
"63207","63208","347"
"46102","46101","346"
"8034","538","340"
"36750","36747","338"
"5460","63207","338"
"39577","5009","334"
"40845","11227","334"
"39577","25744","318"
"36747","36751","316"
"11227","53615","312"
"22467","8395","304"
"39577","46139","301"
"36747","36752","293"
"51572","46483","293"
"1702","8231","289"
"3440","43208","283"
"22467","22625","274"
"22467","23286","272"
"36747","36753","263"
"2266","8034","259"
"46125","46202","259"
"253","19010","255"
"53875","13083","254"
"14889","46101","254"
"58598","47842","252"
"36747","206","251"
"1702","6407","248"
"22467","16281","246"
"47842","45136","244"
"46103","46101","242"
"46104","46101","242"
"16841","46101","240"
"43087","52444","238"
"19712","52444","237"
"51626","53875","237"
"36747","252","236"
"8034","1784","235"
"4117","3217","235"
"58599","47842","234"
"22502","12443","232"
"30857","19010","229"
"22467","22682","227"
"8034","8621","226"
"43208","49544","225"
"48621","45136","222"
"1702","3097","221"
"43208","6190","220"
"8034","8769","219"
"36754","36747","218"
"36747","36755","218"
"46814","46202","218"
"52444","51603","218"
"38389","38390","217"
"36747","36756","216"
"36757","36747","215"
"22502","22578","213"
"47842","46578","212"
"8034","8529","208"
"36747","36758","208"
"46165","46202","206"
"52444","26910","205"
"36747","2704","202"
"51606","52444","202"
"3746","3217","201"
"30858","19010","201"
"22467","26630","201"
"52444","27657","200"
"14","3832","199"
"3735","22502","199"
"51626","43208","199"
"63209","63207","199"
"16841","46202","197"
"53875","51985","197"
"6140","45136","195"
"58600","47842","195"
"63210","63207","194"
"53875","30215","192"
"36747","36759","192"
"46483","51573","191"
"1","2","190"
"5710","3217","189"
"46105","46101","188"
"46166","39577","187"
"53875","43208","187"
"46431","46202","187"
"1178","46101","186"
"39577","46116","186"
"63207","63211","186"
"31115","43208","185"
"51884","52444","185"
"513","3217","183"
"1702","3332","183"
"51626","11227","182"
"47364","46225","182"
"25212","53875","182"
"137","1702","181"
"46483","39577","180"
"46106","46101","179"
"47841","46202","177"
"52444","51590","177"
"43208","51985","177"
"8034","8287","174"
"310","19010","173"
"8485","22502","173"
"5394","3217","170"
"22467","23851","170"
"53875","51813","170"
"46107","46101","168"
"11227","48625","168"
"8034","766","167"
"22507","22502","167"
"53875","51742","165"
"43208","30215","162"
"16635","45136","162"
"39577","46310","162"
"43927","52444","162"
"51681","52444","162"
"11227","6190","161"
"22467","22605","161"
"53875","41920","161"
"51574","46483","161"
"43208","51813","161"
"51742","52444","161"
"1352","1702","160"
"54083","47842","160"
"14","3217","159"
"22467","6188","159"
"36747","36760","159"
"39577","46117","159"
"430","19010","158"
"38391","38389","158"
"36747","36761","157"
"47842","58601","155"
"666","63207","155"
"8034","6004","154"
"22502","9428","154"
"11227","9903","154"
"38392","38389","154"
"46108","46101","154"
"53875","620","153"
"30859","19010","153"
"46483","51575","153"
"11227","13083","152"
"23375","22467","152"
"31628","38389","152"
"6410","3217","151"
"8589","3217","151"
"2163","45136","151"
"53875","53615","151"
"39577","46141","150"
"41440","47842","150"
"11227","30215","149"
