"1","2","1092"
"3","2","607"
"512","7045","536"
"7046","512","504"
"4","2","497"
"33","3","486"
"850","512","421"
"40","145","400"
"7047","512","382"
"5","2","346"
"3","114","334"
"3","4","318"
"3","56","301"
"7048","512","293"
"38","145","259"
"6","2","254"
"7","2","242"
"8","2","242"
"9","2","240"
"948","145","218"
"90","145","206"
"9","145","197"
"512","7049","191"
"10","2","188"
"91","3","187"
"443","145","187"
"11","2","186"
"3","25","186"
"512","3","180"
"12","2","179"
"2287","145","177"
"13","2","168"
"3","288","162"
"7050","512","161"
"3","26","159"
"14","2","154"
"512","7051","153"
"3","60","150"
"3","87","149"
"15","2","148"
"16","2","145"
"17","2","143"
"4","145","143"
"3","150","143"
"29","3","142"
"28","145","142"
"3","105","141"
"3","116","140"
"111","145","139"
"39","3","136"
"3","166","135"
"2","145","134"
"3","37","132"
"362","145","124"
"512","3288","124"
"2","18","123"
"3","27","122"
"19","2","118"
"570","3","118"
"512","777","117"
"20","2","116"
"244","145","115"
"280","3","113"
"3","63","113"
"512","7052","113"
"512","7053","111"
"700","3","110"
"3","9","110"
"21","2","109"
"3","64","109"
"2464","145","109"
"512","7054","109"
"22","2","107"
"23","2","107"
"2","24","106"
"512","7055","106"
"28","3","104"
"33","512","104"
"3","719","104"
"827","512","103"
"170","145","102"
"51","3","101"
"512","7056","101"
"25","2","100"
"140","3","100"
"3","59","100"
"26","2","99"
"3","272","97"
"512","327","97"
"27","2","96"
"512","5890","95"
"894","145","94"
"28","2","93"
"315","145","93"
"124","3","91"
"72","3","90"
"512","56","89"
"74","3","87"
"2828","145","87"
"3","148","87"
"3","171","87"
"512","404","86"
"29","2","85"
"3","145","85"
"512","1225","85"
"30","2","84"
"31","2","84"
"125","3","84"
"3","248","84"
"512","1017","84"
"32","2","83"
"113","145","83"
"512","114","82"
"2829","145","82"
"7057","512","82"
"33","2","81"
"22","145","81"
"512","319","81"
"3","404","81"
"133","3","80"
"145","183","80"
"1745","3","79"
"2830","145","79"
"761","145","78"
"34","2","77"
"1","145","77"
"512","7058","77"
"512","7059","77"
"366","3","76"
"3","126","76"
"563","145","76"
"512","220","76"
"35","2","75"
"3","407","75"
"1747","512","75"
"8","145","74"
"512","7060","74"
"36","2","73"
"37","2","72"
"38","2","71"
"230","145","71"
"1817","512","71"
"2810","512","71"
"7061","512","71"
"39","2","70"
"40","2","70"
"2","41","70"
"42","2","69"
"43","2","69"
"44","2","69"
"3","24","69"
"82","3","68"
"850","3","68"
"3","127","68"
"45","2","67"
"281","3","67"
"7062","512","67"
"3","1379","67"
"512","7063","67"
"46","2","66"
"83","3","66"
"91","512","66"
"47","2","65"
"2","48","65"
"49","2","64"
"14","3","64"
"106","145","64"
"3","2329","64"
"512","2389","64"
"3","84","63"
"512","166","63"
"512","2011","63"
"50","2","62"
"3","112","62"
"241","145","62"
"3","2011","62"
"107","3","61"
"1914","145","61"
"3","663","61"
"512","7064","61"
"512","7065","61"
"51","2","60"
"49","3","60"
"3","78","60"
"159","145","60"
"7066","512","60"
"52","2","59"
"53","2","59"
"54","2","59"
"504","3","59"
"3","8","59"
"512","7067","59"
"55","2","58"
"214","3","58"
"27","145","58"
"346","145","58"
"56","2","57"
"3","92","57"
"3","118","57"
"57","2","56"
"58","2","56"
"2","59","56"
"47","145","56"
"77","145","56"
"95","145","56"
"3","147","56"
"3","327","56"
"107","512","56"
"3","2051","56"
"60","2","55"
"512","64","55"
"5886","512","55"
"512","3083","55"
"512","5309","55"
"3","71","54"
"512","7068","54"
"61","2","53"
"159","3","53"
"20","145","53"
"62","2","52"
"63","2","52"
"2","64","52"
"512","1021","52"
"65","2","51"
"512","7069","51"
"66","2","50"
"335","3","50"
"3","40","50"
"80","145","50"
"1216","145","50"
"3","249","50"
"67","2","49"
"68","2","49"
"2","69","49"
"512","2323","49"
"70","2","48"
"71","2","48"
"62","3","48"
"103","3","48"
"137","145","48"
"184","145","48"
"277","145","48"
"3","256","48"
"7070","512","48"
"512","7071","48"
"72","2","47"
"73","2","47"
"74","2","47"
"75","2","47"
"16","3","47"
"3","7","47"
"1773","512","47"
"76","2","46"
"77","2","46"
"129","3","46"
"3","5","46"
"2294","145","46"
"2482","145","46"
"7072","512","46"
"78","2","45"
"389","3","45"
"79","2","44"
"2","80","44"
"2","81","44"
"16","145","44"
"291","145","44"
"3","1441","44"
"512","7073","44"
"82","2","43"
"83","2","43"
"84","2","43"
"587","3","43"
"916","145","43"
"2831","145","43"
"3","164","43"
"85","2","42"
"79","3","42"
"512","7074","42"
"512","7075","42"
"86","2","41"
"87","2","41"
"3210","3","41"
"87","145","41"
"93","145","41"
"196","145","41"
"3","205","41"
"4062","512","41"
"88","2","40"
"89","2","40"
"120","3","40"
"3","605","40"
"512","1441","40"
"512","6548","40"
"512","7076","40"
"512","7077","40"
"90","2","39"
"91","2","39"
"92","2","39"
"37","145","39"
"2832","145","39"
"3","220","39"
"3","483","39"
"93","2","38"
"94","2","38"
"134","3","38"
"198","3","38"
"3","57","38"
"512","78","38"
"48","145","38"
"151","145","38"
"199","145","38"
"444","145","38"
"1794","145","38"
"3","179","38"
"1135","512","38"
"7078","512","38"
"3","656","38"
"512","3578","38"
"512","7079","38"
"95","2","37"
"96","2","37"
"97","2","37"
"98","2","37"
"103","145","37"
"536","145","37"
"2445","145","37"
"512","249","37"
"7080","512","37"
"512","7081","37"
"512","7082","37"
"99","2","36"
"17","145","36"
"43","145","36"
"78","145","36"
"181","145","36"
"208","145","36"
"7083","512","36"
"512","625","36"
"3","1021","36"
"512","7084","36"
"100","2","35"
"101","2","35"
"102","2","35"
"3","110","35"
"41","145","35"
"689","145","35"
"3","152","35"
"3","346","35"
"4211","512","35"
"512","5996","35"
